timestamp,source_ip,dest_ip,source_port,dest_port,packet_size,flags,suspicious,severity,protocol_ARP,protocol_TCP,protocol_UDP,protocol_UNKNOWN,flag_S,flag_A,flag_F,flag_R,flag_P,threat_type_NONE,threat_type_UDP_FLOOD
2025-09-09 20:54:31.978179,148.113.9.160,192.168.0.106,443.0,60671.0,56,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:32.210014,192.168.0.106,192.168.0.105,56642.0,8009.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:32.302023,192.168.0.105,192.168.0.106,8009.0,56642.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:32.347648,192.168.0.106,192.168.0.105,56642.0,8009.0,54,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:32.972656,192.168.0.106,172.253.118.188,51074.0,5228.0,55,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:33.048469,172.253.118.188,192.168.0.106,5228.0,51074.0,68,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:33.114456,192.168.0.105,239.255.255.250,33284.0,1900.0,290,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:33.124016,192.168.0.105,239.255.255.250,33284.0,1900.0,279,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:33.216622,192.168.0.105,239.255.255.250,33284.0,1900.0,346,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:33.226494,192.168.0.105,239.255.255.250,33284.0,1900.0,344,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:33.319229,192.168.0.105,239.255.255.250,33284.0,1900.0,356,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:33.329081,192.168.0.105,239.255.255.250,33284.0,1900.0,354,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.456997,192.168.0.106,192.168.0.1,56898.0,53.0,75,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.466371,192.168.0.106,192.168.0.1,54390.0,53.0,75,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.482792,192.168.0.1,192.168.0.106,53.0,56898.0,529,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.496473,192.168.0.1,192.168.0.106,53.0,54390.0,372,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.505690,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.515660,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.524417,192.168.0.106,142.250.192.46,62276.0,443.0,124,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.533958,192.168.0.106,142.250.192.46,62276.0,443.0,1288,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.544790,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.553674,192.168.0.106,142.250.192.46,62276.0,443.0,1046,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.561744,192.168.0.106,142.250.192.46,62276.0,443.0,140,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.569335,142.250.192.46,192.168.0.106,443.0,62276.0,82,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.577277,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.585164,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.592886,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.600834,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.608854,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.616857,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.624498,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.633094,192.168.0.106,142.250.192.46,62276.0,443.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.641527,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.649771,142.250.192.46,192.168.0.106,443.0,62276.0,344,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.657579,142.250.192.46,192.168.0.106,443.0,62276.0,986,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.665776,192.168.0.106,142.250.192.46,62276.0,443.0,120,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.674561,142.250.192.46,192.168.0.106,443.0,62276.0,67,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.682739,142.250.192.46,192.168.0.106,443.0,62276.0,1292,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.690164,142.250.192.46,192.168.0.106,443.0,62276.0,349,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.698319,192.168.0.106,142.250.192.46,62276.0,443.0,73,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.705972,192.168.0.106,142.250.192.46,62276.0,443.0,155,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.713680,142.250.192.46,192.168.0.106,443.0,62276.0,162,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.721616,192.168.0.106,142.250.192.46,62276.0,443.0,75,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.729626,192.168.0.105,192.168.0.106,8009.0,56643.0,168,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:36.737706,192.168.0.106,192.168.0.105,56643.0,8009.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:36.745185,192.168.0.105,192.168.0.106,8009.0,56643.0,56,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:36.752884,142.250.192.46,192.168.0.106,443.0,62276.0,264,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.760770,192.168.0.106,142.250.192.46,62276.0,443.0,79,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.768778,142.250.192.46,192.168.0.106,443.0,62276.0,63,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.776685,192.168.0.106,142.250.192.46,62276.0,443.0,75,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.784851,142.250.192.46,192.168.0.106,443.0,62276.0,67,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.792476,192.168.0.105,239.255.255.250,43586.0,1900.0,290,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.821870,192.168.0.105,239.255.255.250,43586.0,1900.0,279,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.830325,192.168.0.105,239.255.255.250,43586.0,1900.0,346,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.838546,192.168.0.105,239.255.255.250,43586.0,1900.0,344,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.903660,192.168.0.105,239.255.255.250,43586.0,1900.0,356,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:36.912790,192.168.0.105,239.255.255.250,43586.0,1900.0,354,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:37.307088,192.168.0.106,192.168.0.105,56642.0,8009.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:37.418946,192.168.0.105,192.168.0.106,8009.0,56642.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:37.464119,192.168.0.106,192.168.0.105,56642.0,8009.0,54,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:39.828290,192.168.0.106,172.64.155.209,57288.0,443.0,55,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:39.846782,172.64.155.209,192.168.0.106,443.0,57288.0,68,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:40.282590,192.168.0.105,239.255.255.250,39261.0,1900.0,290,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:40.384885,192.168.0.105,239.255.255.250,39261.0,1900.0,279,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:40.394620,192.168.0.105,239.255.255.250,39261.0,1900.0,346,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:40.487468,192.168.0.105,239.255.255.250,39261.0,1900.0,344,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:40.498227,192.168.0.105,239.255.255.250,39261.0,1900.0,356,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:40.590989,192.168.0.105,239.255.255.250,39261.0,1900.0,354,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:41.614362,192.168.0.105,192.168.0.106,8009.0,56643.0,168,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:41.625031,192.168.0.106,192.168.0.105,56643.0,8009.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:41.634946,192.168.0.105,192.168.0.106,8009.0,56643.0,56,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:41.840871,192.168.0.1,239.255.255.250,55309.0,1900.0,306,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:41.920785,192.168.0.1,239.255.255.250,55309.0,1900.0,315,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:41.990579,192.168.0.106,148.113.9.160,60671.0,443.0,55,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:42.008641,148.113.9.160,192.168.0.106,443.0,60671.0,56,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:42.023608,192.168.0.1,239.255.255.250,55309.0,1900.0,378,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:42.125344,192.168.0.1,239.255.255.250,55309.0,1900.0,370,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:42.227934,192.168.0.1,239.255.255.250,55309.0,1900.0,315,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:42.337975,192.168.0.1,239.255.255.250,55309.0,1900.0,354,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:42.427237,192.168.0.106,192.168.0.105,56642.0,8009.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:42.462953,192.168.0.1,239.255.255.250,55309.0,1900.0,386,,0,1,False,False,True,False,0,0,0,0,0,True,False
2025-09-09 20:54:42.471623,192.168.0.105,192.168.0.106,8009.0,56642.0,164,PA,0,1,False,True,False,False,0,1,0,0,1,True,False
2025-09-09 20:54:42.480868,192.168.0.106,192.168.0.105,56642.0,8009.0,54,A,0,1,False,True,False,False,0,1,0,0,0,True,False
2025-09-09 20:54:42.536725,192.168.0.1,239.255.255.250,55309.0,1900.0,315,,0,1,False,False,True,False,0,0,0,0,0,True,False
